File,relative_dirname,ID,Level,Status,Details,pci_dss,gpg13,GDPR,HIPAA,nist_800_53,tsc,mitre,Groups,Description
0775-arbor_rules.xml,ruleset/rules,88800,0,enabled,"{""decoded_as"":""arbor""}",[],[],[],[],[],[],[],"[""arbor""]",Arbor
0925-eset-remote_rules.xml,ruleset/rules,42001,0,enabled,"{""decoded_as"":""eset-bsd""}",[],[],[],[],[],[],[],"[""eset"",""firewall""]",ESET console logs.
0155-dovecot_rules.xml,ruleset/rules,9700,0,enabled,"{""decoded_as"":""dovecot""}",[],[],[],[],[],[],[],"[""dovecot""]",Dovecot Messages Grouped.
0155-dovecot_rules.xml,ruleset/rules,9770,0,enabled,"{""decoded_as"":""dovecot-info""}",[],[],[],[],[],[],[],"[""dovecot""]",dovecot-info grouping.
0755-office365_rules.xml,ruleset/rules,91531,0,enabled,"{""decoded_as"":""json"",""integration"":{""pattern"":""office365""},""options"":""no_full_log""}",[],[],[],[],[],[],[],"[""office365""]",Office 365: $(office365.Workload) $(office365.Operation) operation.
0705-sophos_fw_rules.xml,ruleset/rules,70020,0,enabled,"{""decoded_as"":""sophos-fw""}",[],[],[],[],[],[],[],"[""sophos-fw""]",Sophos XG210 Firewall event
0175-proftpd_rules.xml,ruleset/rules,11200,0,enabled,"{""noalert"":""1"",""decoded_as"":""proftpd""}",[],[],[],[],[],[],[],"[""syslog"",""proftpd""]",Grouping for the proftpd rules.
0175-proftpd_rules.xml,ruleset/rules,11202,0,enabled,"{""if_sid"":""11200"",""match"":{""pattern"":""FTP session closed.$""}}",[],[],[],[],[],[],[],"[""syslog"",""proftpd""]",ProFTPD: FTP session closed.
0175-proftpd_rules.xml,ruleset/rules,11221,0,enabled,"{""if_sid"":""11200"",""match"":{""pattern"":""error setting IPV6_V6ONLY: Protocol not available| - mod_delay/|PAM(setcred): System error|PAM(close_session): System error|cap_set_proc failed|reverting to normal operation|error retrieving information about user""}}",[],[],[],[],[],[],[],"[""syslog"",""proftpd""]",ProFTPD: IPv6 error and mod-delay info (ignored).
0345-netscaler_rules.xml,ruleset/rules,80100,0,enabled,"{""decoded_as"":""netscaler""}",[],[],[],[],[],[],[],"[""netscaler""]",Netscaler messages grouped.
0190-ms_ftpd_rules.xml,ruleset/rules,11500,0,enabled,"{""decoded_as"":""msftp""}",[],[],[],[],[],[],[],"[""syslog"",""msftp""]",Grouping for the Microsoft ftp rules.
0900-firewall_rules.xml,ruleset/rules,4100,0,enabled,"{""category"":""firewall""}",[],[],[],[],[],[],[],"[""firewall""]",Firewall rules grouped.
0430-ms_wdefender_rules.xml,ruleset/rules,83000,0,enabled,"{""if_sid"":""18100"",""match"":{""pattern"":""Microsoft-Windows-Windows Defender/Operational:""}}",[],[],[],[],[],[],[],"[""windows"",""windows_defender""]",Windows Defender messages grouped.
0405-rsa-auth-manager_rules.xml,ruleset/rules,81900,0,enabled,"{""decoded_as"":""rsa-auth-manager""}",[],[],[],[],[],[],[],"[""rsa-auth-manager""]",RSA Authentication Manager messages grouped.
